gene_id	plot_id	seq_unit	Alevin-fry	Cell Ranger
ENSG00000159658	SCPCL000003 (Single-cell)	Single-cell	0.06720647773279352	0.07295081967213114
ENSG00000085832	SCPCL000003 (Single-cell)	Single-cell	0.08906882591093117	0.07950819672131147
ENSG00000116209	SCPCL000003 (Single-cell)	Single-cell	0.12226720647773279	0.10819672131147541
ENSG00000157216	SCPCL000003 (Single-cell)	Single-cell	0.12388663967611337	0.14426229508196722
ENSG00000142864	SCPCL000003 (Single-cell)	Single-cell	0.20080971659919028	0.1959016393442623
ENSG00000174021	SCPCL000003 (Single-cell)	Single-cell	0.13441295546558704	0.10983606557377049
ENSG00000153904	SCPCL000003 (Single-cell)	Single-cell	0.09878542510121457	0.10983606557377049
ENSG00000117519	SCPCL000003 (Single-cell)	Single-cell	0.14817813765182186	0.1762295081967213
ENSG00000134202	SCPCL000003 (Single-cell)	Single-cell	0.09878542510121457	0.08360655737704918
ENSG00000134248	SCPCL000003 (Single-cell)	Single-cell	0.1651821862348178	0.1483606557377049
ENSG00000155366	SCPCL000003 (Single-cell)	Single-cell	0.0825910931174089	0.07131147540983607
ENSG00000009307	SCPCL000003 (Single-cell)	Single-cell	0.19190283400809716	0.19344262295081968
ENSG00000265241	SCPCL000003 (Single-cell)	Single-cell	0.09230769230769231	0.08770491803278689
ENSG00000143401	SCPCL000003 (Single-cell)	Single-cell	0.0728744939271255	0.0680327868852459
ENSG00000143420	SCPCL000003 (Single-cell)	Single-cell	0.20809716599190284	0.16147540983606556
ENSG00000197956	SCPCL000003 (Single-cell)	Single-cell	0.17327935222672064	0.14344262295081966
ENSG00000188643	SCPCL000003 (Single-cell)	Single-cell	0.08502024291497975	0.08278688524590164
ENSG00000189171	SCPCL000003 (Single-cell)	Single-cell	0.3684210526315789	0.2983606557377049
ENSG00000143543	SCPCL000003 (Single-cell)	Single-cell	0.09797570850202429	0.130327868852459
ENSG00000143549	SCPCL000003 (Single-cell)	Single-cell	0.19838056680161945	0.1885245901639344
