sample_id	cell_type	fraction	reference	converged
SCPCS000020	Bcells	8.004814657444476e-4	Tref	TRUE
SCPCS000020	CAFs	0.006015276644245743	Tref	TRUE
SCPCS000020	CD4_Tcells	0.048999697263270456	Tref	TRUE
SCPCS000020	CD8_Tcells	0.010631623751030692	Tref	TRUE
SCPCS000020	Endothelial	0.09083370742837771	Tref	TRUE
SCPCS000020	Macrophages	0.03588009158073718	Tref	TRUE
SCPCS000020	NKcells	1.2880242542759136e-8	Tref	TRUE
SCPCS000020	otherCells	0.80683910898635125	Tref	TRUE
SCPCS000021	Bcells	1.2783669988659487e-4	Tref	TRUE
SCPCS000021	CAFs	0.006791690866381729	Tref	TRUE
SCPCS000021	CD4_Tcells	6.712261338319643e-6	Tref	TRUE
SCPCS000021	CD8_Tcells	1.1868736480483065e-7	Tref	TRUE
SCPCS000021	Endothelial	0.10819488149301024	Tref	TRUE
SCPCS000021	Macrophages	0.3687903598759025	Tref	TRUE
SCPCS000021	NKcells	0.0020924504166805876	Tref	TRUE
SCPCS000021	otherCells	0.5139959496994353	Tref	TRUE
SCPCS000022	Bcells	0.0017295147834782002	Tref	TRUE
SCPCS000022	CAFs	0.02590702453314585	Tref	TRUE
SCPCS000022	CD4_Tcells	0.016404496661686512	Tref	TRUE
SCPCS000022	CD8_Tcells	3.8949239885539315e-7	Tref	TRUE
SCPCS000022	Endothelial	0.05367088388436214	Tref	TRUE
SCPCS000022	Macrophages	0.061147952529595505	Tref	TRUE
SCPCS000022	NKcells	2.2698744474177567e-9	Tref	TRUE
SCPCS000022	otherCells	0.8411397358454584	Tref	TRUE
SCPCS000001	Bcells	7.668942632131674e-4	Bref	TRUE
SCPCS000001	CD4_Tcells	0.013524402536167539	Bref	TRUE
SCPCS000001	CD8_Tcells	0.016468991654229728	Bref	TRUE
SCPCS000001	Monocytes	0.004715717413712819	Bref	TRUE
SCPCS000001	Neutrophils	0.004696200210131198	Bref	TRUE
SCPCS000001	NKcells	3.555029109120586e-10	Bref	TRUE
SCPCS000001	otherCells	0.9598277935670427	Bref	TRUE
SCPCS000002	Bcells	4.045202564496705e-4	Bref	TRUE
SCPCS000002	CD4_Tcells	0.032935228063529914	Bref	TRUE
SCPCS000002	CD8_Tcells	0.0066433679439714425	Bref	TRUE
SCPCS000002	Monocytes	0.024849235313549295	Bref	TRUE
SCPCS000002	Neutrophils	0.016820754008747364	Bref	TRUE
SCPCS000002	NKcells	2.4691340509684135e-4	Bref	TRUE
SCPCS000002	otherCells	0.9180999810086554	Bref	TRUE
SCPCS000003	Bcells	0.0010821409206196425	Bref	TRUE
SCPCS000003	CD4_Tcells	0.01809667323735515	Bref	TRUE
SCPCS000003	CD8_Tcells	0.01498423955340225	Bref	TRUE
SCPCS000003	Monocytes	0.0021228473708605347	Bref	TRUE
SCPCS000003	Neutrophils	0.010892291100757293	Bref	TRUE
SCPCS000003	NKcells	1.3667478025922886e-10	Bref	TRUE
SCPCS000003	otherCells	0.9528218076803303	Bref	TRUE
SCPCS000004	Bcells	5.019578870037239e-4	Bref	TRUE
SCPCS000004	CD4_Tcells	0.008498857075392057	Bref	TRUE
SCPCS000004	CD8_Tcells	0.01046215837412297	Bref	TRUE
SCPCS000004	Monocytes	0.005244906576856389	Bref	TRUE
SCPCS000004	Neutrophils	0.015594969069589276	Bref	TRUE
SCPCS000004	NKcells	3.224539065588139e-9	Bref	TRUE
SCPCS000004	otherCells	0.9596971477924965	Bref	TRUE
SCPCS000005	Bcells	5.388965413347836e-4	Bref	TRUE
SCPCS000005	CD4_Tcells	0.025146951525514504	Bref	TRUE
SCPCS000005	CD8_Tcells	0.009859621638402672	Bref	TRUE
SCPCS000005	Monocytes	0.02682272586231342	Bref	TRUE
SCPCS000005	Neutrophils	0.01177084240533034	Bref	TRUE
SCPCS000005	NKcells	7.308877986937838e-10	Bref	TRUE
SCPCS000005	otherCells	0.9258609612962164	Bref	TRUE
SCPCS000007	Bcells	2.642158672666575e-4	Bref	TRUE
SCPCS000007	CD4_Tcells	0.007095894351636452	Bref	TRUE
SCPCS000007	CD8_Tcells	0.005771729646216736	Bref	TRUE
SCPCS000007	Monocytes	0.008313416993188393	Bref	TRUE
SCPCS000007	Neutrophils	0.012816525881272856	Bref	TRUE
SCPCS000007	NKcells	3.368285293786446e-9	Bref	TRUE
SCPCS000007	otherCells	0.9657382138921337	Bref	TRUE
SCPCS000008	Bcells	6.004446779760091e-4	Bref	TRUE
SCPCS000008	CD4_Tcells	0.04509022909627218	Bref	TRUE
SCPCS000008	CD8_Tcells	0.004336308451982528	Bref	TRUE
SCPCS000008	Monocytes	0.011365213484916259	Bref	TRUE
SCPCS000008	Neutrophils	0.004505786003032896	Bref	TRUE
SCPCS000008	NKcells	1.3068291735930038e-10	Bref	TRUE
SCPCS000008	otherCells	0.9341020181551372	Bref	TRUE
SCPCS000009	Bcells	5.181598932623813e-4	Bref	TRUE
SCPCS000009	CD4_Tcells	0.0034102036530314164	Bref	TRUE
SCPCS000009	CD8_Tcells	0.014145573449237723	Bref	TRUE
SCPCS000009	Monocytes	0.009852020201845073	Bref	TRUE
SCPCS000009	Neutrophils	0.009462267977776148	Bref	TRUE
