sample_id	quantiseq_celltype	proportion
SCPCS000152	Monocytes	0
SCPCS000152	Neutrophils	0.0010981786717551695
SCPCS000152	NK.cells	0.019053563856499953
SCPCS000152	T.cells.CD4	0.015826350137293086
SCPCS000152	T.cells.CD8	3.3632596036267406e-5
SCPCS000152	Tregs	0.0022429238743058998
SCPCS000152	Dendritic.cells	0.015975021043197337
SCPCS000152	Other	0.9431714020617445
SCPCS000153	B.cells	0.011636035833018305
SCPCS000153	Macrophages.M1	0
SCPCS000153	Macrophages.M2	0.00238165113001309
SCPCS000153	Monocytes	6.707154290757151e-4
SCPCS000153	Neutrophils	0
SCPCS000153	NK.cells	0.013082127300868359
SCPCS000153	T.cells.CD4	0
SCPCS000153	T.cells.CD8	0
SCPCS000153	Tregs	0.0030644307620904835
SCPCS000153	Dendritic.cells	0.019016323253187573
SCPCS000153	Other	0.9501487162917465
SCPCS000154	B.cells	0.008945037172714781
SCPCS000154	Macrophages.M1	0.007408207535074287
SCPCS000154	Macrophages.M2	0.028388292132198865
SCPCS000154	Monocytes	0
SCPCS000154	Neutrophils	0.0021203261853459687
SCPCS000154	NK.cells	0.016082342289001936
SCPCS000154	T.cells.CD4	0
SCPCS000154	T.cells.CD8	0
SCPCS000154	Tregs	0.008895762263456364
SCPCS000154	Dendritic.cells	0.005240809861292759
SCPCS000154	Other	0.922919222560915
SCPCS000158	B.cells	0.02758422486024724
SCPCS000158	Macrophages.M1	0
SCPCS000158	Macrophages.M2	0.0028745770332027154
SCPCS000158	Monocytes	0.022492349096661902
SCPCS000158	Neutrophils	0
SCPCS000158	NK.cells	0.025835789466466186
SCPCS000158	T.cells.CD4	0
SCPCS000158	T.cells.CD8	0
SCPCS000158	Tregs	0
SCPCS000158	Dendritic.cells	0
SCPCS000158	Other	0.9212130595434219
SCPCS000159	B.cells	0.025959067980619248
SCPCS000159	Macrophages.M1	0.00521179835833452
SCPCS000159	Macrophages.M2	0.011096999721360861
SCPCS000159	Monocytes	0.007915400448886705
SCPCS000159	Neutrophils	0.04299005183825619
SCPCS000159	NK.cells	0.023684849865042986
SCPCS000159	T.cells.CD4	0.030906128090373755
SCPCS000159	T.cells.CD8	0.0031258038564826287
SCPCS000159	Tregs	0.006297431809148145
SCPCS000159	Dendritic.cells	0
SCPCS000159	Other	0.842812468031495
SCPCS000160	B.cells	0.022665765327499313
SCPCS000160	Macrophages.M1	0.0012400486824522342
SCPCS000160	Macrophages.M2	0.015039237816403546
SCPCS000160	Monocytes	0
SCPCS000160	Neutrophils	0
SCPCS000160	NK.cells	0.020919201365495504
SCPCS000160	T.cells.CD4	0
SCPCS000160	T.cells.CD8	0
SCPCS000160	Tregs	0.004087648252915994
SCPCS000160	Dendritic.cells	0.04008886132709545
SCPCS000160	Other	0.895959237228138
SCPCS000161	B.cells	0.012440539989156361
SCPCS000161	Macrophages.M1	0
SCPCS000161	Macrophages.M2	0
SCPCS000161	Monocytes	0.01047945228073331
SCPCS000161	Neutrophils	0
SCPCS000161	NK.cells	0.006499626067744691
SCPCS000161	T.cells.CD4	0
SCPCS000161	T.cells.CD8	0
SCPCS000161	Tregs	0
SCPCS000161	Dendritic.cells	0.0068860063615128865
SCPCS000161	Other	0.9636943753008528
SCPCS000162	B.cells	0.02010365306634791
SCPCS000162	Macrophages.M1	0
SCPCS000162	Macrophages.M2	0
SCPCS000162	Monocytes	0.012458102688654205
SCPCS000162	Neutrophils	0
SCPCS000162	NK.cells	0.010650853846327935
SCPCS000162	T.cells.CD4	0
SCPCS000162	T.cells.CD8	0
SCPCS000162	Tregs	0
SCPCS000162	Dendritic.cells	0
SCPCS000162	Other	0.95678739039867
SCPCS000163	B.cells	0.010898194423847657
SCPCS000163	Macrophages.M1	0
SCPCS000163	Macrophages.M2	0.0076196894351289466
SCPCS000163	Monocytes	0
SCPCS000163	Neutrophils	0
SCPCS000163	NK.cells	0.009527312241886025
SCPCS000163	T.cells.CD4	0
SCPCS000163	T.cells.CD8	0
SCPCS000163	Tregs	0
SCPCS000163	Dendritic.cells	0.01187688716970483
SCPCS000163	Other	0.9600779167294325
SCPCS000164	B.cells	0.030206378050372733
SCPCS000164	Macrophages.M1	0
SCPCS000164	Macrophages.M2	0.0011144360960776234
SCPCS000164	Monocytes	0.027380961800042066
SCPCS000164	Neutrophils	0
SCPCS000164	NK.cells	0.029336845109848485
SCPCS000164	T.cells.CD4	0
SCPCS000164	T.cells.CD8	0
SCPCS000164	Tregs	0
SCPCS000164	Dendritic.cells	0.021576742870771173
SCPCS000164	Other	0.8903846360728879
SCPCS000165	B.cells	0.035514845894651946
SCPCS000165	Macrophages.M1	0
SCPCS000165	Macrophages.M2	4.122995216729797e-5
SCPCS000165	Monocytes	0.028227121167998498
SCPCS000165	Neutrophils	0
SCPCS000165	NK.cells	0.027303610277096196
SCPCS000165	T.cells.CD4	0.018348182911241427
SCPCS000165	T.cells.CD8	0
SCPCS000165	Tregs	0
SCPCS000165	Dendritic.cells	0.026079634629994377
SCPCS000165	Other	0.8644853751668502
SCPCS000166	B.cells	0.0023788201869952962
SCPCS000166	Macrophages.M1	0
SCPCS000166	Macrophages.M2	0.0025941706251974483
SCPCS000166	Monocytes	0.0011810560265391374
SCPCS000166	Neutrophils	0
SCPCS000166	NK.cells	0.002884768886254228
SCPCS000166	T.cells.CD4	0.005692974455348908
SCPCS000166	T.cells.CD8	0
