project_id	expression_type	sample_id	score_type	score
SCPCP000002	bulk_counts	SCPCS000029	stromal	-143.86476766008434
SCPCP000002	bulk_counts	SCPCS000029	immune	68.13979814035045
SCPCP000002	bulk_counts	SCPCS000030	stromal	-162.949140550856
SCPCP000002	bulk_counts	SCPCS000030	immune	328.2597547616546
SCPCP000002	bulk_counts	SCPCS000032	stromal	-117.33422331975136
SCPCP000002	bulk_counts	SCPCS000032	immune	521.8804746778266
SCPCP000002	bulk_counts	SCPCS000033	stromal	-278.2905840463116
SCPCP000002	bulk_counts	SCPCS000033	immune	-260.378476164048
SCPCP000002	bulk_counts	SCPCS000036	stromal	-1001.0173987904308
SCPCP000002	bulk_counts	SCPCS000036	immune	-552.9397500121909
SCPCP000002	bulk_counts	SCPCS000037	stromal	-327.7627406521432
SCPCP000002	bulk_counts	SCPCS000037	immune	-223.05533311153255
SCPCP000002	bulk_counts	SCPCS000038	stromal	-1123.762982416121
SCPCP000002	bulk_counts	SCPCS000038	immune	-1383.0873888501967
SCPCP000002	bulk_counts	SCPCS000039	stromal	-441.1533855169701
SCPCP000002	bulk_counts	SCPCS000039	immune	401.60104614504036
SCPCP000002	bulk_counts	SCPCS000040	stromal	-545.8667244307386
SCPCP000002	bulk_counts	SCPCS000040	immune	51.70062033936049
SCPCP000002	bulk_counts	SCPCS000042	stromal	-80.56554973763265
SCPCP000002	bulk_counts	SCPCS000042	immune	549.9555672823294
SCPCP000002	bulk_counts	SCPCS000044	stromal	-46.86130117659092
SCPCP000002	bulk_counts	SCPCS000044	immune	1094.5816716414556
SCPCP000002	bulk_counts	SCPCS000045	stromal	-505.4146517264534
SCPCP000002	bulk_counts	SCPCS000045	immune	-232.50706339451298
SCPCP000002	bulk_counts	SCPCS000046	stromal	-539.2230020487283
SCPCP000002	bulk_counts	SCPCS000046	immune	-33.95012804789242
SCPCP000002	bulk_counts	SCPCS000047	stromal	-954.145858241458
SCPCP000002	bulk_counts	SCPCS000047	immune	-867.0064677321377
SCPCP000002	bulk_counts	SCPCS000048	stromal	-1045.081766504398
SCPCP000002	bulk_counts	SCPCS000048	immune	-284.39151376405846
SCPCP000002	bulk_counts	SCPCS000049	stromal	51.809020093861996
